0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
30,21,30,27,27,27,30,25,24,27,27,27,34,34,27,30,34,25,27,27,34,34,30,27,27,30,34,27
17,9,17,13,12,13,17,12,13,13,15,13,20,20,13,17,20,7,13,13,20,20,17,13,13,17,20,13
16,6,16,13,14,13,16,12,12,13,14,13,16,16,13,16,15,4,13,13,16,16,16,13,13,16,16,13
15,6,15,12,13,12,15,11,10,12,13,12,15,15,12,15,15,4,12,12,15,15,15,12,12,15,15,12
16,6,15,12,13,12,15,11,12,12,14,12,16,16,12,16,16,4,12,12,16,16,15,12,12,16,16,12
16,5,14,11,12,11,14,10,11,11,13,11,16,16,11,16,16,9,11,11,17,16,14,11,11,16,16,11
16,7,15,13,13,13,15,12,12,13,14,13,16,16,13,16,15,4,13,13,15,16,15,13,13,16,16,13
19,7,18,14,15,14,18,13,13,14,15,14,20,20,14,19,21,12,14,14,21,20,18,14,14,19,20,14
7,0,7,5,6,5,7,4,5,5,6,5,7,7,5,7,7,3,5,5,7,7,7,5,5,7,7,5
8,0,8,6,6,6,8,5,5,6,7,6,10,10,6,8,10,4,6,6,10,10,8,6,6,8,10,6
17,12,17,13,14,13,17,12,12,13,15,13,19,19,13,17,19,10,13,13,20,19,17,13,13,17,19,13
26,16,26,20,20,20,26,19,16,20,24,20,27,27,20,26,28,14,20,20,28,27,26,20,20,26,27,20
16,6,16,13,13,13,16,12,12,13,13,13,17,17,13,16,16,4,13,13,16,17,16,13,13,16,17,13
25,12,24,18,19,18,24,17,18,18,23,18,26,26,18,25,26,15,18,18,26,26,24,18,18,25,26,18
29,19,28,23,25,23,29,22,18,23,26,23,30,30,23,29,30,17,23,24,31,30,28,23,24,29,30,24
15,6,15,12,13,12,15,11,11,12,13,12,16,16,12,15,15,4,12,12,15,16,15,12,12,15,16,12
29,15,29,22,25,22,29,22,21,22,27,22,30,30,22,29,31,18,22,22,31,31,29,22,22,29,31,22
11,0,11,5,7,5,11,5,5,5,8,5,14,14,5,11,16,3,6,5,16,15,11,5,5,11,15,5
16,7,16,14,14,14,16,13,13,14,15,14,17,17,14,16,17,11,14,14,17,17,16,14,14,16,17,14
13,4,13,10,10,10,13,9,10,10,11,10,14,14,10,13,14,8,10,10,17,14,13,10,10,13,14,10
28,22,28,26,26,26,28,25,24,26,27,26,29,29,26,28,29,24,26,26,29,29,28,26,26,28,29,26
18,12,17,13,13,13,18,12,11,12,16,12,19,19,12,18,19,10,12,13,21,19,17,12,12,18,19,12
11,5,10,8,10,8,11,7,8,8,10,8,11,11,8,11,11,3,7,8,11,11,10,8,8,11,11,8
17,11,17,13,14,13,17,12,13,13,15,13,20,20,13,17,21,9,13,13,21,20,17,13,13,17,20,13
22,10,21,16,16,16,21,15,15,16,19,16,22,22,16,22,24,12,16,16,24,22,21,16,16,22,22,16
16,11,15,12,13,12,16,11,11,12,14,12,18,18,12,16,19,9,12,12,19,18,15,12,12,16,18,12
21,13,20,16,17,16,20,15,15,16,19,16,21,21,16,21,21,14,16,17,22,21,20,16,16,21,21,16
15,6,15,13,13,13,15,12,12,13,14,13,16,16,13,15,15,10,13,13,15,16,15,13,13,15,16,13
17,6,17,13,14,13,17,12,11,13,15,13,18,18,13,17,18,10,13,13,18,18,17,13,13,17,18,13
8,1,8,7,8,7,8,5,5,7,7,7,9,9,7,8,9,3,7,7,9,9,8,7,7,8,9,7
30,18,29,26,27,23,29,24,24,26,28,26,31,31,26,30,31,20,26,26,32,31,29,26,26,30,31,23
17,5,16,13,14,13,17,11,11,13,15,13,18,18,13,17,18,9,12,12,20,18,16,13,12,17,18,12
16,6,16,13,13,13,16,12,12,13,15,13,17,17,13,16,17,4,13,13,18,17,16,13,13,16,17,13
17,7,17,14,14,14,17,13,13,14,15,14,18,18,14,17,18,12,14,14,18,18,17,14,14,17,18,14
11,5,10,8,8,7,11,6,8,8,10,8,12,12,8,11,14,3,8,8,15,12,10,8,8,11,12,8
30,24,30,26,25,26,30,25,24,24,27,24,31,31,24,30,31,22,24,27,31,31,30,24,27,30,31,24
15,7,14,13,13,13,14,12,11,13,13,13,16,16,13,15,14,4,13,13,15,15,14,13,13,15,15,13
16,6,16,13,13,13,15,12,11,13,15,13,16,16,13,16,17,4,13,13,17,16,16,13,13,16,16,13
9,1,7,3,4,3,9,3,4,3,6,3,11,11,3,9,12,0,4,4,12,11,7,3,4,9,11,4
16,6,16,13,13,13,16,12,12,13,14,13,17,17,13,16,16,4,13,13,17,17,16,13,13,16,17,13
15,5,14,11,11,11,14,10,10,11,12,11,18,18,11,15,19,9,11,11,19,18,14,11,11,15,18,11
17,5,17,13,14,13,17,11,11,13,14,13,19,19,13,17,21,9,13,13,21,19,17,13,13,17,19,13
18,6,17,14,15,14,17,12,13,13,16,13,18,18,13,17,18,10,14,13,19,18,17,13,13,17,18,13
24,10,24,18,20,18,24,17,13,18,20,18,25,25,18,24,26,14,18,18,26,25,24,18,18,24,25,18
16,6,15,12,13,12,15,11,12,12,14,12,16,16,12,16,16,10,13,13,16,16,15,12,13,16,16,13
27,14,27,21,23,21,27,20,23,21,24,21,28,28,21,27,28,17,21,21,28,28,27,21,21,27,28,21
15,6,15,13,13,13,16,12,10,13,14,13,16,16,13,15,16,4,13,13,16,16,15,13,13,15,16,13
16,5,15,12,13,12,16,11,11,12,14,12,16,16,12,16,19,9,12,12,19,16,15,12,12,16,16,12
16,6,16,13,13,13,16,11,11,13,14,13,16,16,13,16,16,4,13,13,16,16,16,13,13,16,16,13
17,6,16,13,14,13,16,12,13,13,16,13,18,18,13,17,18,11,13,13,18,18,16,13,13,17,18,13
15,6,15,13,13,13,15,12,11,13,14,13,16,16,13,15,16,4,13,13,16,16,15,13,13,15,16,13
18,7,18,14,14,14,18,13,14,14,16,14,20,20,14,18,21,12,14,14,22,20,18,14,14,18,20,14
23,12,22,18,19,18,22,16,15,18,20,18,25,25,18,23,26,14,18,18,26,26,22,18,18,23,25,18
15,5,14,11,11,11,15,9,10,11,13,11,18,18,11,15,20,8,11,11,20,18,14,11,11,15,18,11
8,2,8,5,6,5,8,3,3,5,7,5,8,8,5,8,10,1,5,5,10,8,8,5,5,8,8,5
17,6,17,13,14,13,17,12,13,13,14,13,18,18,13,17,18,12,14,14,18,18,17,13,14,17,18,14
19,8,19,14,15,14,19,13,12,14,17,14,19,19,14,19,19,5,15,14,19,19,19,14,14,19,19,14
29,15,28,25,25,25,29,23,22,25,26,25,30,30,25,29,31,19,25,25,31,30,28,25,25,29,30,25
26,13,25,22,22,22,25,20,16,21,24,21,28,28,21,26,29,16,22,21,29,28,25,21,21,26,28,21
7,0,7,6,6,6,7,5,6,6,6,6,8,8,6,7,8,4,6,6,8,8,7,6,6,7,8,6
17,7,15,13,13,13,15,12,12,13,14,13,16,16,13,17,16,4,13,13,16,16,15,13,13,17,16,13
16,6,14,9,10,9,16,9,10,9,13,9,18,18,9,16,19,4,9,9,19,18,14,9,9,16,18,9
14,4,13,10,10,10,14,9,9,10,12,10,17,17,10,14,18,8,10,10,19,17,13,10,10,14,17,10
32,23,31,26,26,26,31,24,23,25,30,25,33,33,25,32,33,23,25,25,33,33,31,25,25,32,33,25
17,6,17,13,14,13,17,11,11,13,14,13,17,17,13,17,17,3,13,13,17,17,17,13,13,17,17,13
17,10,17,14,14,14,17,13,13,14,16,14,17,17,14,17,17,12,14,14,17,17,17,14,14,17,17,14
22,13,22,17,18,17,22,16,17,17,21,17,23,23,17,22,24,10,17,18,24,23,22,17,18,22,23,18
22,11,21,17,18,17,21,16,16,17,19,17,23,23,17,22,24,12,17,17,24,23,21,17,17,22,23,17
28,19,27,22,24,22,28,20,18,22,26,22,29,29,22,28,29,16,22,22,30,29,27,22,22,28,29,21
8,5,7,6,6,6,7,5,5,6,6,6,8,8,6,8,8,3,6,6,8,8,7,6,6,8,8,6
18,10,18,15,16,15,18,14,12,15,17,15,19,19,15,18,19,6,15,15,22,19,18,15,15,18,19,15
16,6,16,13,14,13,16,12,12,13,15,13,16,16,13,16,16,4,13,13,16,16,16,13,13,16,16,13
15,7,15,11,12,10,15,11,8,10,14,10,15,15,10,15,15,4,11,11,15,15,15,10,11,15,15,11
16,6,16,13,13,13,16,12,12,13,15,13,17,17,13,16,17,11,13,13,18,17,16,13,13,16,17,13
15,6,14,12,12,12,15,10,10,12,13,12,16,16,12,15,16,3,12,12,16,16,14,12,12,15,16,12
26,19,26,22,25,22,26,21,18,22,25,22,27,27,22,26,26,16,22,22,28,27,26,22,22,26,27,22
17,5,17,12,12,12,17,11,12,12,14,12,19,19,12,17,20,10,12,12,21,20,17,12,12,17,20,12
30,20,29,23,24,23,30,22,19,23,26,23,31,31,23,30,32,15,23,23,32,31,29,23,23,30,31,23
17,7,16,14,14,14,17,12,11,14,14,14,18,18,14,17,18,4,14,14,18,18,16,14,14,17,18,14
24,12,23,18,20,18,23,16,15,18,20,18,25,25,18,24,25,14,18,18,26,25,23,18,18,24,25,18
16,5,15,12,12,12,15,11,10,12,13,12,18,18,12,16,18,9,11,11,20,18,15,12,11,16,18,11
15,5,15,12,13,12,15,11,11,12,14,12,16,16,12,15,16,9,12,12,16,16,15,12,12,15,16,12
29,17,29,24,23,24,29,22,24,24,26,24,31,31,24,29,31,20,24,24,32,31,29,24,24,29,31,24
10,4,9,9,9,9,9,6,8,9,9,9,10,10,9,10,10,2,9,9,11,10,9,9,9,10,10,9
9,0,9,5,6,5,9,3,3,5,6,5,10,10,5,9,10,3,5,5,10,10,9,5,5,9,10,5
0,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
31,21,28,24,27,24,30,23,21,24,28,24,32,32,24,31,32,18,24,24,32,32,28,24,24,31,32,24
47,41,47,41,46,41,47,40,44,41,46,41,47,47,41,47,48,39,41,46,48,48,47,41,46,47,48,41
26,11,24,19,20,19,25,17,19,19,22,19,26,26,19,26,27,14,19,19,27,26,24,19,19,26,26,19
15,5,14,12,12,12,14,11,11,12,13,12,15,15,12,15,14,3,12,12,14,14,14,12,12,15,14,12
15,5,14,11,12,11,15,10,9,11,13,11,16,16,11,15,16,3,11,11,16,16,14,11,11,15,16,11
9,2,7,5,6,5,7,4,5,5,6,5,9,9,5,9,9,3,5,5,9,9,7,5,5,9,9,5
11,2,11,7,7,7,11,5,6,7,9,7,12,12,7,11,12,4,7,7,14,12,11,7,7,11,12,7
3,37,3,3,3,3,3,2,39,3,3,3,4,4,3,3,4,36,3,3,5,4,3,3,3,3,4,3
15,6,15,12,13,12,15,11,11,12,13,12,15,15,12,15,15,10,12,12,15,15,15,12,12,15,15,12
14,6,14,12,13,11,14,10,12,12,13,12,14,14,12,14,14,4,12,12,14,14,14,12,12,14,14,12
16,6,16,13,14,13,16,11,13,13,15,13,17,17,13,16,17,4,13,13,16,17,16,13,13,16,17,13
8,5,8,5,5,5,8,4,7,5,8,5,11,11,5,8,11,3,5,5,11,11,8,5,5,8,11,5
8,0,8,5,6,5,8,3,3,5,6,5,9,9,5,8,9,3,5,5,8,9,8,5,5,8,9,5
26,14,25,21,22,21,25,20,20,21,22,21,27,27,21,26,28,17,21,21,28,27,25,21,21,26,27,21
17,6,16,12,13,12,16,11,11,12,15,12,18,18,12,17,19,9,12,12,21,18,16,12,12,17,18,12
10,6,9,8,8,8,9,6,7,8,9,8,11,11,8,10,10,5,7,8,11,11,9,8,8,10,11,7
16,6,15,13,13,13,15,11,11,13,15,13,17,17,13,16,16,4,13,13,16,17,15,13,13,16,17,13
16,6,16,13,13,13,16,12,10,13,15,13,16,16,13,16,16,4,13,13,16,16,16,13,13,16,16,13
16,7,15,11,13,11,15,10,7,11,13,11,16,16,11,16,16,4,11,11,16,16,15,11,11,16,16,11
30,21,29,24,26,25,30,23,23,25,28,25,31,31,25,30,31,18,24,25,32,31,29,25,25,30,31,25
12,5,12,10,11,10,12,8,11,10,11,10,15,15,10,12,15,3,10,11,17,15,12,10,11,12,15,11
11,1,11,6,8,6,11,5,5,6,8,6,11,11,6,11,11,4,6,6,11,11,11,6,6,11,11,6
22,11,22,19,20,19,22,18,15,19,20,19,27,27,19,22,25,15,19,19,27,27,22,19,19,22,27,19
15,6,15,11,13,11,15,10,10,12,13,11,15,15,11,15,15,3,11,12,15,15,15,11,12,15,15,12
15,5,15,11,12,11,15,10,9,11,13,11,15,15,11,15,15,8,11,11,15,16,15,11,11,15,16,11
4,0,4,4,4,4,4,3,3,4,4,4,5,5,4,4,6,53,4,4,6,5,4,4,4,4,5,4
27,18,26,22,22,22,27,20,20,22,25,22,28,28,22,27,29,16,22,22,29,28,26,22,22,27,28,22
18,6,17,13,14,13,17,12,14,13,15,13,18,18,13,18,18,11,13,13,18,18,17,13,13,18,18,13
14,1,13,10,9,10,13,8,5,9,12,10,14,14,10,14,14,6,10,9,15,14,13,10,9,14,14,9
11,2,10,7,8,7,10,6,7,7,8,7,11,11,7,11,11,4,7,7,13,12,10,7,7,11,12,7
15,5,15,12,12,12,15,11,10,12,13,12,16,16,12,15,15,9,12,12,16,16,15,12,12,15,16,12
16,7,16,12,12,12,16,12,8,12,15,12,15,15,12,16,15,5,12,12,16,15,16,12,12,16,15,12
15,7,14,13,13,13,14,10,11,13,14,13,16,16,13,15,16,4,13,13,17,16,14,13,13,15,16,13
16,6,16,12,13,12,16,11,10,12,14,12,16,16,12,16,16,4,13,12,17,16,16,12,12,16,16,12
23,10,23,19,19,19,23,17,13,19,22,19,25,25,19,23,25,14,19,19,26,25,23,19,19,23,25,19
17,6,17,13,13,13,17,11,12,13,15,13,20,20,13,17,20,10,13,13,21,20,17,13,13,17,20,13
9,0,8,6,6,6,9,4,6,6,7,6,9,9,6,9,9,3,6,6,9,9,8,6,6,9,9,6
17,6,17,14,14,14,17,13,13,14,17,14,19,19,14,17,18,11,14,14,18,18,17,14,14,17,18,14
4,66,4,4,4,4,4,3,66,4,4,4,6,6,4,4,7,67,4,4,7,6,4,4,4,4,6,4
27,20,27,23,24,22,27,22,23,23,26,23,28,28,23,27,29,19,23,23,29,28,27,23,23,27,28,23
28,16,27,23,24,23,28,22,23,23,26,23,30,30,23,28,31,18,23,24,31,30,27,23,24,28,30,23
7,2,7,2,2,2,7,0,0,2,4,2,10,10,2,7,12,0,2,1,12,10,7,2,1,7,10,2
16,7,16,13,13,13,16,12,11,13,15,13,17,17,13,16,17,11,13,13,17,17,16,13,13,16,17,13
16,6,16,14,13,14,16,12,13,14,14,14,17,17,14,16,17,11,13,13,16,16,16,14,13,16,16,13
30,20,29,24,25,24,30,23,21,24,28,24,31,31,24,30,31,18,24,24,32,31,29,24,24,30,31,24
10,3,9,6,6,6,9,5,0,6,8,6,11,11,6,10,12,1,6,6,11,11,9,6,6,10,11,6
29,22,29,24,25,24,29,24,24,24,28,24,31,31,24,29,32,20,24,25,32,31,29,24,25,29,31,25
3,27,2,0,0,0,3,0,2,0,2,0,5,5,0,3,5,0,0,2,5,5,2,0,2,3,5,2
16,6,15,11,13,11,15,10,7,11,14,11,16,16,11,16,15,4,11,11,16,16,15,11,11,16,16,11
14,7,13,13,13,13,13,11,10,13,13,13,14,14,13,14,13,4,13,13,13,14,13,13,13,14,14,13
21,7,21,20,21,20,21,19,16,20,21,20,22,22,20,21,22,13,20,20,22,22,21,20,20,21,22,20
36,25,35,31,31,31,35,29,28,31,34,31,37,37,31,36,37,21,31,31,38,37,35,31,31,36,37,31
30,17,30,28,28,28,30,27,26,28,28,28,31,31,28,31,31,22,28,28,31,31,30,28,28,31,31,28
16,6,15,12,13,12,15,10,11,12,14,12,16,16,12,16,16,4,12,12,16,16,15,12,11,16,16,11
15,6,15,13,13,13,15,10,10,13,14,13,15,15,13,15,16,4,13,13,16,15,15,13,13,15,15,13
16,6,16,13,13,13,16,12,13,13,15,13,16,16,13,16,15,4,13,13,15,18,16,13,13,16,18,13
16,6,16,13,13,13,16,12,10,13,15,13,17,17,13,16,16,4,13,13,17,17,16,13,13,16,17,13
18,7,18,14,15,14,18,13,14,14,16,14,19,19,14,18,20,12,14,14,20,19,18,14,14,18,19,14
16,6,16,13,13,13,16,12,12,13,14,13,16,16,13,16,18,4,13,13,18,18,16,13,13,16,18,13
14,4,14,10,11,10,13,9,9,10,12,10,14,14,10,14,14,8,10,10,14,14,14,10,10,14,14,10
17,11,16,13,14,13,16,12,12,13,15,13,18,18,13,17,18,9,13,13,18,18,16,13,13,17,18,13
16,6,16,13,14,13,16,11,11,13,15,13,17,17,13,16,17,3,13,13,17,17,16,13,13,16,17,13
18,7,17,14,15,14,17,13,13,14,16,14,18,18,14,18,19,12,14,14,20,18,17,14,14,18,18,14
16,5,15,12,12,12,15,10,11,12,13,12,17,17,12,16,19,9,12,12,19,17,15,12,12,16,17,12
23,11,22,16,18,16,23,15,15,16,19,16,24,24,16,23,25,13,16,16,26,24,22,16,16,23,24,16
16,6,16,14,14,14,16,13,11,14,14,14,17,17,14,16,16,4,14,14,17,16,16,14,14,16,16,14
17,7,15,14,14,14,16,13,12,14,15,14,17,17,14,17,17,4,14,14,17,17,15,14,14,17,17,14
17,7,17,14,15,14,17,13,13,14,16,14,18,18,14,17,18,11,14,14,19,18,17,14,14,17,18,14
21,11,20,17,17,17,21,15,16,16,19,16,22,22,16,21,23,7,17,17,23,22,20,16,17,21,22,17
10,0,9,4,5,4,10,3,4,4,6,4,11,11,4,10,14,2,5,5,14,11,9,4,5,10,11,5
17,7,17,13,14,13,17,12,12,13,15,13,18,18,13,17,19,5,13,13,19,19,17,13,13,17,19,13
33,25,33,29,30,29,33,28,27,29,32,29,34,34,29,33,34,22,29,30,34,34,33,29,30,33,34,29
20,10,19,16,16,16,19,13,13,16,16,16,20,20,16,20,21,6,16,16,21,20,19,16,16,20,20,16
16,10,16,13,14,13,16,11,10,13,15,13,17,17,13,16,17,6,13,13,17,17,16,13,13,16,17,13
27,16,27,23,24,23,27,22,21,23,26,23,28,28,23,27,29,18,23,23,30,28,27,23,23,27,28,23
19,7,19,15,15,15,19,13,13,14,18,14,21,21,14,19,22,12,14,14,22,21,19,14,14,19,21,14
15,6,15,13,12,13,15,11,12,13,14,13,15,15,13,15,15,4,13,13,15,15,15,13,13,15,15,13
15,4,15,10,10,10,15,9,10,10,13,10,18,18,10,15,19,8,10,10,19,18,15,10,10,15,18,10
3,36,3,0,3,0,3,0,2,3,3,3,5,5,3,3,6,31,0,3,6,5,3,3,3,3,5,3
30,22,30,25,27,25,30,24,25,25,29,25,31,31,25,30,31,17,25,26,32,31,30,25,26,30,31,25
16,7,16,14,14,14,16,11,13,14,15,14,17,17,14,16,18,4,14,14,19,17,16,14,14,16,17,14
26,13,25,22,22,22,25,21,23,22,25,22,26,26,22,26,26,15,22,22,26,26,25,22,22,26,26,22
16,10,16,13,13,13,16,12,13,13,15,13,18,18,13,16,19,9,13,13,19,18,16,13,13,16,18,13
15,5,15,12,13,12,15,11,11,12,14,12,15,15,12,15,15,10,12,12,15,15,15,12,12,15,15,12
32,23,32,28,29,27,32,27,27,28,30,28,34,34,28,32,34,21,28,28,34,34,32,28,28,32,34,28
9,6,8,6,7,6,8,5,6,6,8,6,9,9,6,9,9,4,6,6,9,9,8,6,6,9,9,6
23,15,22,17,17,17,23,16,14,17,20,17,25,25,17,23,25,12,17,17,26,25,22,17,17,23,25,17
